Index,English Discription,Chinese Description,Region,Spicy,Sour,Vegetarian,Beef,Chicken,Pork,Fish,Halal,Rice,Noodle,Bun,Soup,Salad
1,[Halal] Crispy Breaded Fish,???????,Western,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,[Halal] Hot Plate Chicken Set,??????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,[Halal] Scallop & Chicken Bento,??????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,[Vegetarian] Tofu with Mushroom Bento,???????????\n(More rice option available on dashboard,Local Items,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,"1 Bun (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage)",???\n????\n????,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
6,"1 Bun (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"2 Buns (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage)",????\n????\n????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,"2 Buns (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage)",????\n????\n????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,"2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage)",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,Braised Beef Noodle,?????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,Braised Chicken with Chef Special Sauce Bento,?????\n(More rice option available on dashboard,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Braised Pork Rib Noodle,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13,Chicken Curry Rice,?????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
14,Chicken Mushroom Pasta,??????,Western,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Deep Fried Dumplings (6pcs),??(6?,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Fine Handmade Shandong Pancake,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Fish Fragrance Shredded Pork,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Fried Carrot Cake,???,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,Fried Hokkien Prawn Mee,?????,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Fried Kway Teow,???,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Fried Pork Slices w Salted Pepper w Rice,???????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,Fried Rice w Sliced Pork,????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
23,Fried Rice with Tomato and Egg,??????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
24,Ginger & Scallions Beef w Rice,?????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
25,Gongbao Chicken,?????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Grilled Chicken w Black Pepper Sauce w Mashed Potato,?????????,Western,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,Hot Plate Beef,????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,Nutritious Millet Porridge,???,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,"Rice (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",????\n????\n????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,"Rice (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
31,"Rice (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
32,Sauteed Sliced Pork with Pepper and Chili,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Seafood Fried Noodles,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
34,"Set 1 w 1 Bun (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",???\n?????\n????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
35,"Set 1 w 2 Buns (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",???\n?????\n????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
36,"Set 1 w Rice (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",???\n?????\n????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,"Set 10 w 1 Bun (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",????\n?????\n????,Chinese,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,"Set 10 w 2 Buns (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",????\n?????\n????,Chinese,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,"Set 10 w Rice (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",????\n?????\n????,Chinese,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,"Set 11 w 1 Bun (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
41,"Set 11 w 2 Buns (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
42,"Set 11 w Rice (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
