Index,English_Discription,Tag
1,[Halal] Crispy Breaded Fish,fish
1,[Halal] Crispy Breaded Fish,halal
1,[Halal] Crispy Breaded Fish,western
2,[Halal] Hot Plate Chicken Set,chicken
2,[Halal] Hot Plate Chicken Set,halal
2,[Halal] Hot Plate Chicken Set,japanese
3,[Halal] Scallop & Chicken Bento,chicken
3,[Halal] Scallop & Chicken Bento,halal
3,[Halal] Scallop & Chicken Bento,japanese
4,[Vegetarian] Tofu with Mushroom Bento,vegeatarian
4,[Vegetarian] Tofu with Mushroom Bento,local items
5,"1 Bun (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage)",chicken
5,"1 Bun (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage)",pork
5,"1 Bun (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage)",bun
5,"1 Bun (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage)",chinese
6,"1 Bun (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin)",pork
6,"1 Bun (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin)",chinese
7,"2 Buns (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage)",beef
7,"2 Buns (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage)",bun
7,"2 Buns (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage)",chinese
8,"2 Buns (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage)",beef
8,"2 Buns (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage)",chicken
8,"2 Buns (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage)",bun
8,"2 Buns (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage)",chinese
9,"2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage)",pork
9,"2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage)",bun
9,"2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage)",chinese
10,Braised Beef Noodle,beef
10,Braised Beef Noodle,noodle
10,Braised Beef Noodle,chinese
11,Braised Chicken with Chef Special Sauce Bento,chicken
11,Braised Chicken with Chef Special Sauce Bento,chinese
12,Braised Pork Rib Noodle,pork
12,Braised Pork Rib Noodle,noodle
12,Braised Pork Rib Noodle,chinese
13,Chicken Curry Rice,chicken
13,Chicken Curry Rice,rice
13,Chicken Curry Rice,japanese
14,Chicken Mushroom Pasta,chicken
14,Chicken Mushroom Pasta,western
15,Deep Fried Dumplings (6pcs),chinese
16,Fine Handmade Shandong Pancake,chinese
17,Fish Fragrance Shredded Pork,pork
17,Fish Fragrance Shredded Pork,chinese
18,Fried Carrot Cake,local items
19,Fried Hokkien Prawn Mee,local items
20,Fried Kway Teow,local items
21,Fried Pork Slices w Salted Pepper w Rice,pork
21,Fried Pork Slices w Salted Pepper w Rice,rice
21,Fried Pork Slices w Salted Pepper w Rice,chinese
22,Fried Rice w Sliced Pork,pork
22,Fried Rice w Sliced Pork,rice
22,Fried Rice w Sliced Pork,chinese
23,Fried Rice with Tomato and Egg,chicken
23,Fried Rice with Tomato and Egg,rice
23,Fried Rice with Tomato and Egg,chinese
24,Ginger & Scallions Beef w Rice,beef
24,Ginger & Scallions Beef w Rice,rice
24,Ginger & Scallions Beef w Rice,chinese
25,Gongbao Chicken,chicken
25,Gongbao Chicken,chinese
26,Grilled Chicken w Black Pepper Sauce w Mashed Potato,chicken
26,Grilled Chicken w Black Pepper Sauce w Mashed Potato,western
27,Hot Plate Beef,beef
27,Hot Plate Beef,japanese
28,Nutritious Millet Porridge,chinese
29,"Rice (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",beef
29,"Rice (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",pork
29,"Rice (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",chinese
30,"Rice (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",pork
30,"Rice (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",rice
30,"Rice (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",chinese
31,"Rice (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",pork
31,"Rice (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",rice
31,"Rice (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",chinese
32,Sauteed Sliced Pork with Pepper and Chili,pork
32,Sauteed Sliced Pork with Pepper and Chili,chinese
33,Seafood Fried Noodles,noodle
33,Seafood Fried Noodles,chinese
34,"Set 1 w 1 Bun (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",beef
34,"Set 1 w 1 Bun (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",pork
34,"Set 1 w 1 Bun (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",bun
34,"Set 1 w 1 Bun (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",chinese
35,"Set 1 w 2 Buns (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",beef
35,"Set 1 w 2 Buns (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",pork
35,"Set 1 w 2 Buns (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",bun
35,"Set 1 w 2 Buns (Double Cooked Sliced Pork,  Braised Beef w Potato,  Dry Tofu with Celery)",chinese
